Hebi 1 torque	Hebi 2 torque	M3 torque
-2.26414	-6.20199	0.0160927	
-2.28267	-6.23533	-0.00687522	
-2.2977	-6.18345	0.00129627	
-2.31801	-6.13324	-0.00053145	
-2.34	-6.19923	-0.00111436	
-2.32356	-6.15983	-0.00915716	
-2.46957	-6.12545	0.0532904	
-2.5501	-6.27023	0.0501569	
-2.60997	-6.25294	0.0491372	
-2.62742	-6.17412	0.0507929	
-2.6329	-6.15807	0.06629	
-2.67881	-6.14092	0.0543552	
-2.28298	-6.16438	0.0171061	
-2.47179	-6.15634	-0.0176823	
-2.53448	-6.13799	0.000412673	
-2.53819	-6.18873	0.00912917	
-2.54744	-6.1839	-0.0122515	
-2.55933	-6.1836	-0.00708923	
-2.5765	-6.13945	0.0144741	
-2.56144	-6.10083	0.0217694	
-2.55776	-6.12518	-0.0151867	
-2.58333	-6.11715	0.0253525	
-2.59713	-6.0853	0.000957119	
-2.59377	-6.08076	0.0105067	
-2.66188	-6.03312	0.0533821	
-2.60428	-6.09191	-0.0466937	
-2.79926	-6.04061	0.0580984	
-2.81273	-6.05813	0.0574625	
-2.84569	-6.02298	0.0735347	
-2.60552	-6.03811	-0.0128063	
-2.73759	-6.045	-0.0314015	
-2.67217	-5.98698	0.0363946	
-2.6922	-5.95473	0.00456561	
-2.66459	-6.00844	-0.02456	
-2.83009	-5.84789	0.0874649	
-2.83241	-5.96206	-0.105881	
-2.91538	-5.87245	-0.00534876	
-2.95253	-5.83222	-0.117702	
-2.89727	-5.92326	-0.0288816	
-2.93732	-5.83015	0.0378268	
-2.94725	-5.83594	0.0528956	
-2.924	-5.88777	0.0253898	
-2.96554	-5.80465	-0.0167995	
-2.98385	-5.86223	-0.0270272	
-3.01886	-5.72449	0.0266424	
-3.03365	-5.76522	-0.0046405	
-3.03061	-5.79396	-0.00334712	
-3.10496	-5.71396	0.00332697	
-3.07833	-5.68068	0.0160054	
-3.17166	-5.69734	0.00123805	
-3.12913	-5.59539	0.0177171	
-3.23975	-5.57498	0.00563426	
-3.2402	-5.57555	-0.00409211	
-3.2478	-5.50442	0.0105815	
-3.20744	-5.46879	0.012525	
-3.31388	-5.46683	0.00687928	
-3.32535	-5.43291	0.0360439	
-3.37889	-5.40736	0.0144911	
-3.37756	-5.45603	0.0157692	
-3.392	-5.36303	0.0104735	
-3.39715	-5.41107	0.00590481	
-3.48621	-5.33967	0.137704	
-3.44788	-5.27251	0.0120373	
-3.48613	-5.32444	0.0719931	
-3.53723	-5.20484	0.0251052	
-3.53235	-5.23162	0.00895683	
-3.39829	-5.26077	0.00511776	
-3.57799	-5.06415	0.0105897	
-3.5999	-5.10343	0.0248893	
-3.62528	-5.04259	0.0105858	
-3.64663	-4.96488	0.00785128	
-3.65915	-4.99206	0.00183488	
-3.66975	-4.98603	0.00569001	
-3.72345	-4.92529	0.0013991	
-3.72698	-5.02464	-0.00984734	
-3.79771	-4.93716	0.0174371	
-3.75366	-4.84396	0.0586591	
-3.79819	-4.8368	-0.000694976	
-3.7955	-4.73518	0.0894983	
-3.84816	-4.70746	0.00558418	
-3.82981	-4.77894	-0.0112562	
-3.90117	-4.69305	-0.0142642	
-3.87531	-4.67361	0.0281863	
-3.90621	-4.53948	0.010233	
-3.93365	-4.48995	0.0223831	
-3.98769	-4.53577	-0.000924892	
-3.97049	-4.49549	-0.00386734	
-4.01068	-4.32773	0.0230809	
-4.03109	-4.3032	0.012677	
-4.06473	-4.26005	0.0148461	
-4.09793	-4.37485	-0.0482554	
-4.17349	-4.29724	-0.0359301	
-4.1587	-4.10673	0.015674	
-4.13247	-4.11524	-0.00745545	
-4.22424	-4.15394	-0.00195914	
-4.22222	-4.09935	-0.0148272	
-1.3101	-0.906231	0.00994633	
-0.29983	0.31179	0.0278825	
-0.00246776	0.71567	0.0298827	
0.0603795	0.759471	-0.0196153	
0.0649043	0.808784	0.00421037	
0.0865965	0.804187	-0.0203902	
0.0716766	0.812476	0.0231719	
0.0707305	0.850122	0.00633825	
0.0965439	0.921641	0.00756847	
0.11338	0.851529	0.0105585	
0.1618	0.97215	-0.00388921	
0.125955	0.929547	0.00415491	
0.109587	0.861317	0.0148734	
0.110413	0.843437	0.0129387	
0.147642	0.947385	-0.000707233	
0.127953	0.907197	-0.0162734	
0.162416	0.951912	0.0131008	
0.147744	0.866908	0.00729589	
0.188477	1.0272	0.0112598	
0.214192	1.07845	0.0164165	
0.20298	1.08306	0.00367449	
0.197557	1.07631	0.00637638	
0.264817	1.23666	0.0288017	
0.199534	1.12536	-0.00143102	
0.224236	1.08963	-0.011997	
0.174809	1.18289	0.0316884	
0.228107	1.28464	0.0114287	
0.215038	1.28764	0.00458228	
0.220004	1.31751	0.0193709	
0.214379	1.27197	0.00973119	
0.228634	1.41419	0.0306269	
0.233638	1.40115	0.011128	
0.22901	1.34093	0.0231482	
0.239664	1.41016	0.0336871	
0.25639	1.43322	0.0354885	
0.230247	1.38831	0.0119327	
0.260099	1.42374	0.0338637	
0.256158	1.48743	0.0437579	
0.280501	1.50153	0.0699134	
0.302799	1.49924	-0.0223433	
0.315762	1.55292	0.00841979	
0.332577	1.60715	0.0562512	
0.368794	1.59423	0.00733202	
0.392348	1.62176	0.0307936	
0.400556	1.67776	0.0278871	
